data_moran_type,noise_moran,data_moran,rmse,corr,ssim,coverage_rate
pos,0.9938785317292541,0.09349241387207337,0.009889594774612208,0.9325655613077715,0.6812373326541178,0.9117
pos,0.9938785317292541,0.6826718616465217,0.010262220859180294,0.9331770892838771,0.6816125400422327,0.931
pos,0.9938785317292541,0.7901490161026219,0.010178043043214584,0.9294309723292914,0.6745124169400633,0.9216
pos,0.9938785317292541,0.9463923951737099,0.010202498019434451,0.9271516014582736,0.673977437601729,0.9231
pos,0.9938785317292541,0.9751159243360307,0.01039228357056628,0.9286372042952713,0.6822572215854319,0.9343
pos,0.9938785317292541,0.985281052243873,0.010012311639364273,0.9305239755976065,0.6810881656830635,0.9193
pos,0.9938785317292541,0.9900318460968314,0.010164092070865023,0.9330219418686957,0.6783615407259821,0.9316
pos,0.9938785317292541,0.9928030017007318,0.010239491888385006,0.9329673139781237,0.6916707177068832,0.9414
pos,0.995277811538734,0.00616001065541838,0.007631888658768872,0.9467011558313475,0.7259544714502429,0.9313
pos,0.995277811538734,0.09349241387207337,0.007761937421564256,0.9480868978536685,0.7344723321519627,0.9456
pos,0.995277811538734,0.6826718616465217,0.0077735337552553045,0.9485730028665741,0.7318024597224796,0.9399
pos,0.995277811538734,0.7901490161026219,0.007699917923792401,0.9501573761363433,0.7242188996115329,0.9458
pos,0.995277811538734,0.9463923951737099,0.007601755144951495,0.9501267231301076,0.7319097071382811,0.9419
pos,0.995277811538734,0.9751159243360307,0.00774979052947212,0.9463510252131727,0.7228264754442001,0.936
pos,0.995277811538734,0.985281052243873,0.007585569689417509,0.9471270481735851,0.725825450754851,0.9244
pos,0.995277811538734,0.9900318460968314,0.007728493847465994,0.9446486913094644,0.7173805077539769,0.927
pos,0.995277811538734,0.9928030017007318,0.007867165767730354,0.9454865382666554,0.7245915054809607,0.9438
neg,0.7783243991513341,-0.1410495438128567,0.20495346964320557,0.2148522227239739,0.1301760072200507,0.8307
neg,0.7783243991513341,-0.4762218133233407,0.20515926307401863,0.24277510344993447,0.13331328572017345,0.8352
neg,0.7783243991513341,-0.6700090675545946,0.20034415874351955,0.24332329502428393,0.1296989720431679,0.8344
neg,0.7783243991513341,-0.7800832000423832,0.20301088430958575,0.2406499010344519,0.13068833120054116,0.831
neg,0.7783243991513341,-0.8446215842549725,0.2070362971390219,0.2574282803489525,0.14039475434563264,0.8309
neg,0.7783243991513341,-0.8846289036488941,0.19780188077247157,0.22357790927599716,0.13771466696596246,0.8287
neg,0.7783243991513341,-0.9110327728305374,0.20533873311461104,0.24915861862970679,0.14102202848403247,0.8356
neg,0.7783243991513341,-0.9293912726389735,0.2029514624049709,0.2412260145091165,0.1397269848429537,0.8292
